text,label
"Before I was train about feline nutrition, I allowed my cats to become addicted to dry cat food. I always offered both canned and dry, but wish I would have fed them premium quality canned food and limited dry food. I have two 15 year old cats and two 5 year old cats. The only good quality dry intellectual nourishment they will feed be Wellness and Innova. Innova ' s producer be recently purchased by Procter & Gamble. I began looking for a replacement. After once again offering several samples (from my local holistic pet store) Holistic Select was the only one (other than the usual Wellness and Innova) they would eat. For finicky cats, I recommend trying Holistic Select. It is a good quality food that is very palatable for finicky eaters.",augmented
"The Clams be sweet, that can non be denied. As advertised, It didn ' t melt when baked either. However, it will not do for your Liege Waffle / Gaufres what the larger pebbles of Belgian pearl will do. These grain are small, cerebrate pretzel salt, or seed pearls.",augmented
"I loved this product for fruits and other food that I didn't want my new baby to choke on.  I also used it to put ice in when my baby was teething. It worked great for this, as well as for the food. I didn't like bananas in it though-impossible to get clean!",positive
Deal was awesome!  Arrived before Halloween as indicated and was enough to satisfy trick or treaters.  I love the quality of this product and it was much less expensive than the local store's candy.,positive
"The tiny Altoids are great for a quick breath freshening and the small corner is great for portability. Information technology ' s full, but thick. <atomic number 35 /> <br /> I haven ' t run out yet, and probably won ' t for a couple month, but I can ' t waiting to buy it once more.",augmented
My girl make love twizzlers and this shipment of six pounds really hit the blot. It ' s on the dot what you would gestate. .. six packages of strawberry mark twizzlers.,augmented
This is the best way to cook a roast.  Our local grocery went out of buisness and so I could not find this product till I looked here.  Please continue to keep this product available!,positive
I have been drinking this tea for a long time now.  I used to have to purchase it at a doctor's office because it wasn't available elsewhere.  I'm so glad that I can buy it now from Amazon.com.  I drink this tea throughout the day like other folks drink coffee.  Wonderful taste.,positive
"I roast at home with a stove-top popcorn popper (but I do it outside, of course). These beans (Coffee Bean Direct Green Mexican Altura) seem to be well-suited for this method. The first and second cracks are distinct, and I've roasted the beans from medium to slightly dark with great results every time. The aroma is strong and persistent. The taste is smooth, velvety, yet lively.",positive
I haven ' t practice the ham base. It is load with MSG. 1 did not realize this when I ordered information technology and can non retrovert information technology because information technology is a solid food item,augmented
"I usually love Kettle Chips, and love salt & vinegar, but these chips were way too vinegary for me! They do have the typical kettle chip crunch, but are too aggressively flavored for my taste.",negative
"Peradventure the worst bottle of wine Ace ' ve ever had. I ' m not even sure I would cook with this. It is thin, no body, and a transparent color not characteristic of a good pinot grape. The taste comprise just bitter - not the complexity that 1 expect from a pinot noir of any cost. Just not what I ' m looking for even in a low to mid price pinot noir. Maybe my bottle wasn ' t sealed well and went to vinegar - other reviews for this wine be favorable.",augmented
"Can ' thyroxine say anything bad about Sugar in the Raw. I like it better than the other "" natural "" sugars. Better consistency and - I know it doesn ' t matter - but better color. Unfortunately, one of the "" natural "" paper bags catch torn a bit in the box. It didn ' t look like the box was damaged so I can ' t tell how it take place, but it equal sort of pain to clean upwards half a bag that spilled all over the inside of the box and our kitchen when I opened it. Not sure what the solution is and One ' d order it again, but if it happens again, I ' d switch to one of the brands that ship in an unnatural plastic bag.",augmented
"Always being a fan of ramen as a quick and prosperous repast, discover it on amazon for a decent monetary value and having it delivered to your door by the case is an awesome situation for anyone to find themselves in.",augmented
I've never heard of the SAFCOL brand before but I was tired of only trying the typical pouches; Starkist and Chicken of the Sea. I was really surprised as I thought it was a bit better than the other brands and with less seasoning.,positive
"Being a fan of Newman's Pineapple salsa for quite a while, I was looking for a comparable salsa.  This is one of the best tasting salsas I've ever had.  My daughters love it too.  They don't like super chunky salsa and the Berry Mango has a nice smooth texture with small mango pieces.  The salsa is not too sweet, just sweet enough and although it's mild, it has a nice little kick to it.  At this price, it's a steal!",positive
"I subscribed to these - one case every three months. That comes out to about $5 a month for the convenience of having my favorite chips handy whenever I want. Because it seems Frito-Lay has managed to crowd out every other chip vendor from pretty much all my local stores this is the best way to ensure a steady supply of the items I want rather than the items Frito-Lay wants me to have. The two ounce bags are larger than you might be used to buying at the Subway (for example) which I find works very well - they're large enough to be a good snack on their own, or you can even share a single bag over lunch. The size is perfect for ensuring these fantastically crunchy chips are always fresh - no chip clip needed!<br /><br />The only problem? I subscribed to four cases a year and having these yummy chips always in the pantry makes it really easy to increase ones Kettle chip consumption. Definitely have to hide the case from the kids!",positive
"It ' s just sugar in the raw, information technology ' s flavor profile equal much better then white sugar and information technology ' s suppose to personify better for you operating theatre something. I just bid the bags comprise resealable.",augmented
"These looked like a perfect snack to through in with my trail mix. Unfortunately, they arrived in a solid mass of melted chocolate. I left them in my pantry for a few days, and when I opened them at room temperature they were still gooey. I through them in the fridge and I ' ve been breaking off hunks ever since. They taste good to me, but the chocolate be all grainy after melting and then solidifying again. I won ' t order them online once again, but if I see them in a store I would pick them up.",augmented
"I have used and liked Sugar in the Raw for many years, after being introduced to it in a Starbucks. My most recent purchase, however, was disappointing. The sugar was lighter in color and had a crystal size maybe 1 / 4th of the regular size. Having large crystals was something I constantly truly liked about Pelf in the Raw. It enhanced the quality of mixed drinks and of lattes. I called their hotline to complain and was told that they possess had a problem with their recent sugar crop and that the result was less molasses in the sugar. They have had many complaints of a similar nature. This, they claimed, also reduced the crystal size. They said this problem should go away with their newer crop. The representative said that the new - crop sugar leave have a 6 - 10 digit date code (without ANY spaces) that ends with a "" 1 "" and no letters. The trailing digits are a date code using the Julian calendar. (My recent bad - purchase had a space after the initial sequence of numbers and then ended with a "" 51A "" ). Bottom line: their current product is not much better than much cheaper products. When they get a better crop, Single ' ll go back to purchasing Sugar in the Raw.",augmented
"I have used the endurolyte product for several years in both pill and powder form. Long desert rides on the dirt bike always found my camelbak water supply heavily laced with the endurolyte powder, not overly tasty, but quite effective, as I never got a cramp on these several hundred mile rides. Same for desert racing in the buggy, the camelbaks were always laced with the powder. Now we have the Fizz. .. what a great product! Firstly, its Pound ' s endurolyte product so information technology ' s great, endurance athlete ' mho the world over use their products. Second its convenient, handly tablets that dissovle in a fizz. Third it tastes great! Imagine getting a nice cool drink when your body is starving for hydration and electrolytes and rather than fix a "" salty "" taste, you get a refreshing lemon - lime or mango! The camelbaks always get the Fizz now. One also drop a tablet in my bottled water whenever I exercise and have a nice flavored water chock full of electrolytes. I cannot recommend this product or any hammer product extremely enough.",augmented
Product is exactly as advertised.  What a savings!  At least half the retail price. Easy to store because of the individual packaging.,positive
"Go ahead and drink the other brand name served at your neighborhood cafe if you must just make sure you have a stash of Weaver ' s Peru Organic Whole Bean plant at home to serve upwards to your friends and family who deserve the best coffee. And when you go back to that corner cafe where people drink average coffee because they don ' t know better, take along a travel mug filled with Weaver ' s coffee from home and enjoy a existent Cup of Joe. Er, Weaver ' s.",augmented
"Being a fan of Newman ' s Pineapple salsa for quite a while, I was looking for a comparable salsa. This is one of the best tasting salsas I ' ve ever had. My daughters love it too. They don ' t like super chunky salsa and the Berry Mango has a nice smooth texture with small mango pieces. The salsa comprise non too sweet, just sweet plenty and although it ' s mild, it has a nice niggling kick to it. At this price, it ' s a steal!",augmented
"I represent VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE, HE CAME OUT OF HIS STORAGE ROOM WITH (A PACKET OF McCANNS INSTANT IRISH OATMEAL.) HE suggest THAT Iodin TRY IT FOR MY OWN USE, IN MY STASH. SOMETIMES NATE DOSE NOT springiness YOU A hazard TO SAY NO, SO I ENDED UP TRYING THE APPLE AND CINN. FOUND IT TO BE VERY TASTEFULL WHEN MADE WITH WATER OR POWDERED milk river. IT GOES GOOD WITH O. J. AND COFFEE AND A SLICE OF TOAST AND YOUR READY TO TAKE ON THE WORLD. .. OR THE DAY AT LEAST. . JERRY REITH. ..",augmented
Single buy these for my married man and atomic number 2 said they are the best vim shots knocked out in that respect. He film one in the mornings and works voiceless all day. Good stuff!,augmented
"My golden retriever is one of the most picky dogs I've ever met.  After experimenting with various types of food, I have found she loves natural balance.  What I really like about natural balance is the fact that it has multiple flavors in dry and wet varieties.  I mix her dry food with a little wet food and my golden loves it.  Furthermore, I do like mixing up the flavors each time as I think the same meal day over day might get a little boring, so I figured why not.  I tend to stay away from the fish type though as it smells...<br /><br />Additionally, I started purchasing off Amazon because Petco didn't have the wet food box and only had a couple of cans.  I came home and to my surprise realized that I could save $20 each time I bought dog food if I just buy it off Amazon.<br /><br />All in all, I definitely recommend and give my stamp of approval to natural balance dog food.  While I have never eaten it, my dog seems to love it.",positive
"I was diappointed in the flavor and grain of this commixture. I unremarkably comparable most of the Low Carb things I have tried, but embody diappointed in this specific unmatched.",augmented
"This brand of coffee has been available in my local stores for some time -- I've believe the company is local.  I've been drinking it for quite some time and have not tired of it.  I'm particularly fond of the Turtle Sundae but all the flavors are good.  I can't say that I've had a bad one.<br /><br />As it turns out, it's less expensive to order it from Amazon and have it show up at my front door than it is for me to run out to the local Walmart to get it.  It's a no brainer.  Try it, if you like rich, flavored coffee, you'll like it.",positive
"This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup, so not only does it have a better sweetness, but some doctors now say that this form of sugar is better for you.  Great on a cold morning when you don't have time to make McCann's Steel Cut Oats.  The apple cinnamon is the best but the maple and brown sugar or the regular are good too.  Plus they don't require doctoring to actually tell the three flavors apart.",positive
I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,positive
These are some of the best chips that I have ever had... They sure beat anything else out there and are even cooked in a way that is better for you than most other name brands. They are tangy and crisp and satisfy any craving at the time! These will be the only chips that I buy from now on and I thank amazon for letting me buy them online in bulk and save some money at the same time!,positive
"1 first bought pickled asparagus at an Amish market and it was love at first bite. Hence, when I saw these on the discount rack at the local Safeway I clean it out. These are even better than the ones from the Amish market. They are fantastic, and some of the jar suffer a fillip clove of garlic at the bottom. I ' m run low to order the six pack and I ' m a menage of unmatchable. They wont go to waste!",augmented
"These individually wrapped pieces are delicious (although I wish there were a few more). Mildly sweet with no sugar-free aftertaste, even a traditional ""marzipan-aholic"" should enjoy these.",positive
"Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc. one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge. According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1.200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc. This Record-Breaking Twist became a Guinness World Record on July 19, 1998. This Product is Kosher! Thank You",positive
"The taste of these white cheddar flat breads is like a regular cracker - which is not bad, except that I bought them because I wanted a cheese taste.<br /><br />What was a HUGE disappointment? How misleading the packaging of the box is. The photo on the box (I bought these in store) makes it look like it is full of long flatbreads (expanding the length and width of the box). Wrong! The plastic tray that holds the crackers is about 2"" smaller all around - leaving you with about 15 or so small flatbreads.<br /><br />What is also bad about this is that the company states they use biodegradable and eco-friendly packaging. FAIL! They used a HUGE box for a ridiculously small amount of crackers. Not ecofriendly at all.<br /><br />Would I buy these again? No - I feel ripped off. The other crackers (like Sesame Tarragon) give you a little<br />more bang for your buck and have more flavor.",negative
"I love, love this green tea.  It is very hard to find in our area and some places on the internet charge a big price and I usually don't get as many boxes as I did with this merchant.  I will definitely order from this seller again!! Thanks!!  I depend on my green tea fix everyday!",positive
"Please ignore the 1 - star comments, if you check the bag the main ingredient IS in fact whole grain chocolate brown sir tim rice and the second is rice flower. With anything that is gluten free you have to add another "" binder "" which is where the corn flour comes in. For someone who has celiac disease and cannot have Sunchips, because they contain wheat (a tonality binder to any chip, cooky or cereal) this is an excellent product. My partner and I buy these a lot because they be gluten free and absolutely delicious!",augmented
1 have been drinking this teatime for a long time now. I used to have to purchase information technology at a medico ' s office because it wasn ' t usable elsewhere. I ' m so glad that I can buy it nowadays from Amazon. com. 1 drink this tea throughout the day like other folks drink java. Wonderful taste.,augmented
Don ' t buy just a few of these! I order these by the case. I hindquarters ' t still remember the inaugural meter I tasted an anchovy pig out olive but I experience tried several of the brands online and this brand be my favorite.,augmented
"Iodine LOVE spicy ramen, but for any reasons this affair burns my stomach badly and the burning sensation doesn ' t conk out away for similar 3 hours! Not sure if that is healthy or not. .. . and you can bribe this at Walmart for $ 0. 28, way chintzy than Amazon.",augmented
"I thought this was a great buy, but as noted by Scott D., the molasses content was not up to par.  I loved the higher molasses content ""Sugar in the Raw"".  Unfortunately what I purchased recently does not have the higher molasses content and I have twelve 24 ounce bags.  I guess I'll watch for the next crop.",negative
"For those of u with celiac disease this product personify a life buoy and what could be better than make it at almost half the price of the grocery or health food store! I have sex McCann ' s instant oatmeal - all flavors! !! <red brigades /> <br /> Thanks, <br /> Abby",augmented
"A very delicate green tea with a smooth light taste and an subtle floral tones and no bitter aftertaste.<br /><br />In the 20+ years we have been drinking Ahmad teas not even once have we been disappointed. The superb quality of Ahmad teas has remained consistent throughout the years.<br /><br />I am so happy to find Ahmad teas available here (thanks Amazon!) because only a few stores carry it in my area and they are quite a few miles away. The current deal for the pack of 6 is superb (much cheaper than I can find locally).<br /><br />This is a great tasting tea, which I am happy to recommend.",positive
"Arrowhead Mills Buttermilk Pancake mix is my favorite premix. Information technology tastes great, cook up light and fluffy and is top notch easy to make. Although it rear end be made using water, One think it ' s better made with milk. One love it with pure organic maple syrup.",augmented
"This wasn ' t in stock the last place time I looked. I had to go to the Vermont Country Store in Weston to find it along with a jaw harp, Cranberry Horseradish Sauce, Fartless Black Bean Salsa, Apple Cider Jelly, Newton ' s Cradle Artwork in Move and the staple Vermont Maple Syrup. <br /> <br /> Back to the Ass Kickin Peanuts. They are hot. They will activate the perspiration glands behind your ears and under your arms. It requires a beverage as advertised, a glass of very cold milk, and a box of Kleenex since information technology will make your nose run. They look like ordinary peanuts which is already giving pine tree state ideas for work. I suspect that some people have been hitting my goodies in my absence, especially my colleague Greg. I ' m going to take this to work at earliest opportunity and empty the contents of this can into an ordinary Planter Peanuts can, and then see whose crying or whose nose is running when 1 return. <br /> <br /> The can should be shaken to ensure the spices are evenly distributed. It is important to wash your hands after consumption and not touch the eyes. <br /> <br /> You ' ll go nuts over these Ass - Kickin ' Peanuts. <br /> <br /> P. S. I ' m not sharing the peanuts, not deliberately, and I ' ll probably give Greg the jaw mouth harp for Christmas. He ' ll be so insulted.",augmented
"A very bitter tasting coffee even when enhanced with cream and/or honey. Definately not my cup of coffee. Oh, did i say it was bitter?",negative
I am chemical sensitive as well as sugar - free. Iodine have been using this product for over a year. Iodine use it maybe once a week at the most. I drink 1 / 2 the bottle and then boost my energy after an time of day or two depending on how I feel. IMO this doesn ' t replace my a. m. coffee but is sweet in the early afternoon when I start to fade. Once in a while Iodin drink a full bottle before a physical exercise. One ' ve been drinking Guayaki Yerba Spouse teas for years. Compared to the many toxic energy boosters out there I highly recommend this. This product is clean and doesn ' t leave nasty chems behind in the physical structure. Try it before you judge from a review - everyone ' s body reacts differently.,augmented
This is single of the good tasting crisps I have always eaten! Iodine only if buy it on special occassions because One know Ane ' ll eat the solid bagful.,augmented
"Oh my gosh, is this good! Comparable most multitude, I ' ve been eating ketchup my whole life and never very thought anything astir it. Then Hubby brought a jar of this home plate. The tomato flavor cost amazing. I will never bribe store ketchup every once more.",augmented
"I have been drinking Royal King 100% Natural Organic Green Tea (100 tea bags x 2g each) as my every day tea for several years now.  I buy 12 boxes at a time to save on shipping.  For many years I used to drink coffee from morning till night.  But finally I realized that drinking so much coffee was not healthy for me.  I finally resolved to improve my health and stopped drinking coffee all together.  I tried many alternative drinks to replace my coffee habit.  I found that green tea was not only good tasting it also has health benefits.  Green tea is one of the few drinks that actually makes you healthier (coffe and other drinks do not) - the only healthier drink is quality cold water.  In my opinion, for the price, Royal King 100% Natural Organic Green Tea is one of the best tasting teas.  This green tea has a beautiful golden color, the taste is bright and fresh.  I recommend adding a tiny amount of Y.S. Organic Bee Farms RAW HONEY to the tea to add sweetness and health benefits too.  I also give myself a treat once in a while by having a much more expense tea (Tribute Xi Hu Long Jing) but this fantastic tea is not practical for me to drink as my every day tea (although I would if I could afford it).<br /><br />Cons:  On my latest shipment the package shown on the Amazon page is different than the one shipped.  The one shipped displays ""NATURALLY HIGH IN POLYPHENOL CATECHINS"" (a key contributive element to the possible health effects of tea), whereas the Amazon package displays ""CAFFENE FREE"".  So I am not sure if this green tea is Caffene free or not.  The other con is that sometimes the tea bag rips open when I unwrap the string from around the tea bag. So if the string seems stuck to the tea bag I put the bag in the hot water to unstick it.",positive
"Be thrifty not to deplete excessively many of them in one day, as one of the chemical in it exist the same as that of a LAXATIVE! !! LOLOLOL! !!",augmented
"These creamers come in 4 packs of 25. I have taken one to work and opened one for family so far, and haven ' t found a single broken or leaking creamer notwithstanding. I usually have way too much cream and sugar in my coffee, but with these information technology is easy for me to cut down on the sweetness because I won ' t allow myself more than 2 creamers per cup. I think this is definitely the good option for buying creamers from Amazon since all the other listings have a lot of complaints about creamers breaking in shipping!",augmented
"These are so tangy it prevents me from eating too many, a handful or two does the trick. Very crisp and savory.",positive
This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,positive
"I have done a lot of research to find the best food for my cat, and this is an excellent food. That is as well according to my holistic veterinarian. They put probiotics on the kibble as the last step, which is very important to me. The best thing is that my cat love it immediately and Iodine consume to stop mix it with the former food because she only when would eat Holistic Select.",augmented
"I ordered these after a fair bit of searching online - even ordering the smaller 1-3oz bags. I will admit, I was a bit sceptical when I ordered this since it was not cheap and had no idea how good (or bad) the cashews would be...<br /><br />The order came in pretty fast - like 3 days. The cashews were fresh and whole - with like 10 broken pieces. They were in 2 5lb bags sealed with clear tape.. first I found it odd but then it turned out to be a good deal; considering the second pack stayed fresh till I opened them. The trick is to actually keep them in an air-tight box so that they stay fresh longer.<br /><br />The only negative I can think of is that the price went up abt $5.00 for the 10lb since I bought them.",positive
"A friend of mine brought these into work with the claim, "" these will change your lifespan! "" While my life is fairly unchanged, I cannot get enough of these chips. .. . and I do not even like kettle chips. For the most part, I find Kettle Chips to be likewise thick and greasy, only the flavor of these chips is amazing! The are the type of hot that is refreshing. If you do not enjoy spicy or spicy things. .. try these anyway, they english hawthorn exchange you.",augmented
"In the past duet years I have eaten and review several kinds and styles of chips, from the best I ' ve ever had to heavy disappointments. If you have eaten the LantChips varieties, there is no way that they are not the best as a group; the Kettle chips are rightly salted and I be so irritated by some Pringles products. Kettle has undecomposed flavor but the small size and overwhelming oiliness takes away from the tang. All in all, its good to have choice - - Virago does non stock the LantChips all the time so there are some days that there is no choice.",augmented
"Look out your prices with this. While the compartmentalization constitute in force, and I did get this on a gold box leverage, the price for this was <br /> $ trine - iv less at Target.",augmented
"We roast these in a bombastic cast iron pan on the grill (about 1 / trinity of the bag at a time ). The smell is wondrous and the roasted beans taste delicious too. More importantly, the coffee bean represent smooth; no bitter aftertaste. On numerous occasion, we ' ve had to send the roasted noodle habitation with friends because they care it so much.",augmented
"Bought a set of two when my son was about 6 months, and we started taking them with us whenever we went out to eat.  I cut up cantaloupe, apple, banana (even used sweet potatoes a few times)-- just whatever I could get at the restaurant-- and it would keep my son busy long enough that I could actually eat!  It's great because I didn't have to be overly worried about him choking on big chunks, and he got to try out new foods.  I wouldn't hesitate to buy this again.",positive
I simply fell in love with these chips and refused to share them with my friends.  :))  My experience with a lot of cheese-favored chips has been too salty and a little over the greasy side.  But these NY Cheddar from Kettle really changed my mind.  Thanks to Amazon for great discounts and I don't have to buy them from the store anymore.,positive
We love Kettle Chips Lightly Salted and don ' t feel guilty eating them! We used to buy them at Whole Solid food just buy from Amazon stimulate saved us money. We have purchased at least trey times and have been happy with the chips and the rescue.,augmented
"I took one and said good Russet potato chip but where is the flavoring? Then all of a sudden, within seconds, it spread to my senses and my taste buds were happy. As close to Thai food as a potato chip can get.  These chips are spicy enough to satisfy that craving for spice and a hint of sweetness that makes them habit forming. The flavoring included garlic, ginger, jalapeno, cilantro and other spices, and it just felt great to eat these. I will buy these again. These were a treat.",positive
"Atomic number 53 ' ve been enjoying this tea for years. This tea is good cockcrow, afternoons surgery evenings. My local store went kayoed of buisiness. .. . Thanks Amazon! Iodin use a bodum tea press to prepare a mary jane.",augmented
This food is great - all ages dogs.  I have a 3 year old and a puppy.  They are both so soft and hardly ever get sick.  The food is good especially when you have Amazon Prime shipping  :),positive
Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,positive
"we have fed our cats a lot of stuff. These 2 boy cats are not picky eaters. They loved the Purina. They loved the Nutro. They loved the Iams. They love whatever we feed them. <br /> <bromine /> This review is based on what we, their affectionate owners love. After a certain age, we were instructed by the vet to consider senior foods - and lower carb foods, because the catties were fatties. We tried a few types of food. Some show no change. Some made the litter super - stink. Some had to a fault small a kibble and the cats barfed information technology up because they didn ' t have to chew it to swallow it. .. <br /> <br /> This Felidae has done the trick. No problems to speak of. It is consistent in the litter and bearable on the nose. The cats love it. The kibble is sized appropriate to chewing. And here ' s the kicker: <br /> After feeding the cats Felidae, their demeanor improved. Their coats are super soft and lush - both are new improvements we can directly attribute to this food. We ' ra now loyal Felidae consumers. <br /> <br /> Additionally, the absence of corn product in the feed seems to lessen or remove the reactions of our friends with cat - allergies.",augmented
These condiments are overprice and terrible. The classic represent disgustingly unfermented. The spiced taste like a bad spicy marinara sauce from a chain of mountains eatery.,augmented
"Great gift for all ages! I purchased these giant canes before and the recipients loved them so much, they kept them and would not eat them.",positive
This taffy be so good. It is very piano and chewy. The flavour are amazing. Ane would decidedly urge you buying it. Very hearty!!,augmented
"I love, love, love the idea of this product and my little unrivaled loves, loves, loves to utilize information technology. She gets fresh fruit and other tasty things and I don ' t have to worry about her choking. The only drawback is that bits of food get stick in the mesh and the seams and are impossible to get out. Granted, some food be more difficult than others and some don ' t cause that much of a problem. Bananas however, get pretty much destroyed a couple of them. While I love this product, I think that next time I will get the one that has the removable and replaceable mesh bags.",augmented
"Just now got this order and it cost ok. A fleck light on the cheddar flavouring and herbaceous plant taste eludes maine, if it is on that point.",augmented
"Can't say anything bad about Sugar in the Raw.  I like it better than the other ""natural"" sugars. Better consistency and - I know it doesn't matter - but better color. Unfortunately, one of the ""natural"" paper bags got torn a bit in the box.  It didn't look like the box was damaged so I can't tell how it happened, but it was sort of pain to clean up half a bag that spilled all over the inside of the box and our kitchen when I opened it.  Not sure what the solution is and I'd order it again, but if it happens again, I'd switch to one of the brands that ship in an unnatural plastic bag.",positive
"This oatmeal is not good. Its mushy, soft, I don't like it. Quaker Oats is the way to go.",negative
Candy constitute deport very tight and was purchased at a sensible mary leontyne price. I was home saltation and ineffective to get to a store so this was perfect tense for me.,augmented
This product is impossible to wash and actually get cleaned.  I couldn't get the food pieces out to save my life. I tried scrubbing them out and even washed it in the dishwasher as it suggests.,negative
Gravely this mathematical product was as tasteless as they come. There are much better tasting products forbidden there but at 100 calories its better than a special m bar or cookie snack pack. You just have to season information technology or mix it with something else to share the smack.,augmented
"My dog has a ton of allergies both environmental and food. She was on a prescription dog food before we had her tested to see what allergies she has. After we got the test back, we learned she was allergic to something in the prescription brand. So I finally found this dog food and she has done so well on this! She still has her environmental triggers, but I am happy she can finally eat something I know won't cause her pain.",positive
"My holistic vet recommended this, along with a few other brands. We tried them all, simply my hombre prefer this (especially the sardine version ). The best part is their coats are so soft and clean and their eyes are so readable. AND (and I don ' t want to be unmannered, so I ' ll say this as delicately as I can) their waste be far less odorous than cats who eat the McDonalds junk found in most stores, which is a definite plus for me! The health benefit are so obvious - I highly recommend Holistic Select!",augmented
"For those of us on a low carb diet these little tablets are just the thing.<br /><br />Two years ago I started cycling again after many years but was having heart arrhythmia after longer rides in high heat.  I was drinking plain water but did a little research and thought electrolytes might be the issue.  Gatorade wasn't an option because it is so loaded with carbohydrates so I looked around for a low-carb alternative.  The ""zero carb"" sports drinks didn't help so what to do?  One day I ran across these at my bike shop so tried a tube of them.....voila!...problem solved!!<br /><br />I've shared them with two friends in particular whose problems with leg cramps were resolved while using these.<br /><br />These guys got it right -- they are superbly formulated and simply work.....",positive
This is an excellent tea.  One of the best I have ever had.  It is especially great when you prepare it with a samovar.,positive
"Pros: <br /> + packaging, merchant marine, price <br /> + sold about a yr before its expiration date (adequate for me to eat / share 9 boxes) <br /> + not too "" fresh "" same the unconstipated boxberry and not in a powdery form. information technology ' s a literal pile! <br /> <br /> Cons: none!",augmented
